Timestamp,Location,Age Group,Employment Status,  What is your primary source of income?  ,Monthly Income Range (KES),Access to Financial Advisory Services,Financial Literacy Level,Primary Financial Goals,Financial Challenges,Frequency of Seeking Financial Advice,Which financial advisory services have you used before?  ,Interest in AI-powered Chatbot,Preferred Chatbot Features,Trust Factors for Chatbots,Comfort with Digital Financial Planning,What concerns would you have about using a financial chatbot?  ,Additional Features Requested,Other Comments,Literacy Category,Income Ordinal,Income Category,Adoption Potential,User Segment
2/28/2025 12:27,Murang'A,25-40 Years,Employed (Full-Time),Salary/Wages,"100,001 And Above",No,3,"Saving For Education, Buying A Home, Retirement Planning, Investment Opportunities, Managing Debt","Lack Of Financial Knowledge, Lack Of Trust In Financial Advisors",Rarely (Only When Needed),"Mobile Money Services (E.G., M-Pesa)",Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips, Integration With My Existing Financial Accounts","Strong Data Privacy And Security Policies, Availability Of Expert Human Support If Needed",Not Comfortable,"Accuracy Of Information, Data Privacy And Security",Alternative Method Of How I Should Be Breaking Down My Monthly Budget,They Should Give Examples,Medium,100,Low,Neutral,Medium Literacy - Low Income
3/1/2025 20:35,Nairobi,18-24 Years,Student,Salary/Wages,Prefer Not To Say,No,4,Investment Opportunities,"Limited Access To Financial Advisors, Lack Of Trust In Financial Advisors",Never,"Mobile Money Services (E.G., M-Pesa), Online Financial Platforms",Yes,Budgeting And Expense Tracking,Accurate And Reliable Financial Advice,Very Comfortable,Data Privacy And Security,Accurate And Updated Information,None,High,0,,Neutral,High Literacy - nan Income
2/28/2025 12:41,Kisii,25-40 Years,Unemployed,Family Support,"100,001 And Above",No,2,Investment Opportunities,Limited Access To Financial Advisors,Rarely (Only When Needed),"Banks/Financial Institutions, Mobile Money Services (E.G., M-Pesa), Family/Friends/Informal Groups",Yes,Budgeting And Expense Tracking,"Strong Data Privacy And Security Policies, Availability Of Expert Human Support If Needed",Very Comfortable,Accuracy Of Information,Per Issue Advice,No,Low,100,Low,Neutral,Low Literacy - Low Income
2/28/2025 12:54,Nairobi,25-40 Years,Employed (Full-Time),Family Support,Prefer Not To Say,No,5,"Saving For Education, Buying A Home, Retirement Planning, Investment Opportunities",Lack Of Financial Knowledge,Rarely (Only When Needed),Banks/Financial Institutions,Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips, Multilingual Support",Availability Of Expert Human Support If Needed,Very Comfortable,"Accuracy Of Information, Data Privacy And Security, Ease Of Understanding Responses, Trust In Automated Financial Advice",None,When Is The Ai Coming Up Though,High,0,,Neutral,High Literacy - nan Income
2/25/2025 23:28,Nairobi,25-40 Years,Unemployed,Family Support,"20,000-50,000",Yes,5,Investment Opportunities,High Cost Of Advisory Services,Frequently (Weekly Or Monthly),Banks/Financial Institutions,Yes,Personalized Investment Advice,Availability Of Expert Human Support If Needed,Very Comfortable,"Data Privacy And Security, Ease Of Understanding Responses, Trust In Automated Financial Advice",Accurate And Updated Information,Good Feedback And Advisory On Improvement,High,20,Low,Neutral,High Literacy - Low Income
2/28/2025 22:34,Malaba,25-40 Years,Employed (Full-Time),Salary/Wages,"Less Than 20,000",No,4,Investment Opportunities,Limited Access To Financial Advisors,Rarely (Only When Needed),"Banks/Financial Institutions, Insurance Companies, Investment Firms, Mobile Money Services (E.G., M-Pesa), Online Financial Platforms, Family/Friends/Informal Groups",No,Budgeting And Expense Tracking,Accurate And Reliable Financial Advice,Somewhat Comfortable,Data Privacy And Security,Non,Non At The Moment,High,20,Low,Neutral,High Literacy - Low Income
2/25/2025 18:44,Kisii,25-40 Years,Employed (Part-Time),Salary/Wages,"20,000-50,000",No,3,"Buying A Home, Retirement Planning, Investment Opportunities",Lack Of Financial Knowledge,Frequently (Weekly Or Monthly),Unknown,Yes,Budgeting And Expense Tracking,"Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface, Availability Of Expert Human Support If Needed",Somewhat Comfortable,Data Privacy And Security,Giving Of Living Examples,Unknown,Medium,20,Low,Neutral,Medium Literacy - Low Income
2/27/2025 15:09,Nairobi,25-40 Years,Employed (Full-Time),Salary/Wages,"20,000-50,000",No,5,Investment Opportunities,Lack Of Financial Knowledge,Rarely (Only When Needed),"Banks/Financial Institutions, Family/Friends/Informal Groups",Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips, Multilingual Support, Integration With My Existing Financial Accounts,","Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice",Not Comfortable,Accuracy Of Information,Support On Financial Issues,Flexible Compensation For Advisory Services Services,High,20,Low,Neutral,High Literacy - Low Income
2/27/2025 20:20,Kakamega,25-40 Years,Self-Employed,Family Support,"50,001-100,000",No,5,"Saving For Education, Buying A Home, Retirement Planning, Investment Opportunities",Frequent Recurrent Expediture,Never,Banks/Financial Institutions,Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips, Multilingual Support, Integration With My Existing Financial Accounts",Availability Of Expert Human Support If Needed,Somewhat Comfortable,Accuracy Of Information,Financial Records,Na,High,50,Low,Neutral,High Literacy - Low Income
2/25/2025 18:44,Nairobi,25-40 Years,Employed (Part-Time),Business/Entrepreneurship,"20,000-50,000",Yes,3,Investment Opportunities,Cost Of Living,Rarely (Only When Needed),"Mobile Money Services (E.G., M-Pesa)",Yes,Personalized Investment Advice,"Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice",Somewhat Comfortable,Data Privacy And Security,Financial Calculation,Na,Medium,20,Low,Neutral,Medium Literacy - Low Income
2/27/2025 14:22,Vihiga,25-40 Years,Employed (Part-Time),Salary/Wages,"Less Than 20,000",No,4,"Saving For Education, Investment Opportunities","Lack Of Financial Knowledge, Lack Of Trust In Financial Advisors",Rarely (Only When Needed),"Online Financial Platforms, Family/Friends/Informal Groups",Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips",Easy-To-Use And Intuitive Interface,Very Comfortable,"Accuracy Of Information, Data Privacy And Security",Timely Financial Prompts When Investment Opportunities Are Available.,Unknown,High,20,Low,Neutral,High Literacy - Low Income
3/2/2025 18:31,Nairobi,41-60 Years,Employed (Part-Time),Family Support,Prefer Not To Say,Yes,4,Investment Opportunities,Limited Access To Financial Advisors,Rarely (Only When Needed),Banks/Financial Institutions,Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips, Integration With My Existing Financial Accounts","Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface",Very Comfortable,"Accuracy Of Information, Data Privacy And Security",Voice Feature,Unknown,High,0,,Neutral,High Literacy - nan Income
2/25/2025 10:18,Vihiga,18-24 Years,Self-Employed,Salary/Wages,"20,000-50,000",No,3,"Retirement Planning, Investment Opportunities",Limited Access To Financial Advisors,Rarely (Only When Needed),"Mobile Money Services (E.G., M-Pesa), None",Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Multilingual Support, Integration With My Existing Financial Accounts",Strong Data Privacy And Security Policies,Very Comfortable,"Data Privacy And Security, Trust In Automated Financial Advice",Financial Support,Financial  Investment,Medium,20,Low,Neutral,Medium Literacy - Low Income
3/1/2025 23:08,Gambogi,25-40 Years,Unemployed,Salary/Wages,"20,000-50,000",Yes,3,Managing Debt,"Limited Access To Financial Advisors, High Cost Of Advisory Services",Rarely (Only When Needed),Insurance Companies,Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips, Multilingual Support, Integration With My Existing Financial Accounts","Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface, Availability Of Expert Human Support If Needed",Very Comfortable,Accuracy Of Information,Alternative Method Of How I Should Be Breaking Down My Monthly Budget,Grateful For This Eye Opening Financial Knowledge,Medium,20,Low,Neutral,Medium Literacy - Low Income
2/28/2025 23:32,Nairobi,25-40 Years,Self-Employed,Family Support,"Less Than 20,000",No,3,Retirement Planning,Lack Of Financial Knowledge,Rarely (Only When Needed),Unknown,Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Integration With My Existing Financial Accounts",Strong Data Privacy And Security Policies,Very Comfortable,"Ease Of Understanding Responses, Trust In Automated Financial Advice",Financial Prediction Options,Good Feedback And Advisory On Improvement,Medium,20,Low,Neutral,Medium Literacy - Low Income
2/28/2025 12:54,Nairobi,25-40 Years,Self-Employed,Salary/Wages,"100,001 And Above",Yes,3,"Retirement Planning, Investment Opportunities",Limited Access To Financial Advisors,Rarely (Only When Needed),Banks/Financial Institutions,Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Integration With My Existing Financial Accounts",Availability Of Expert Human Support If Needed,Somewhat Comfortable,"Accuracy Of Information, Data Privacy And Security",I Would Love Links To Job Opportunities For Extra Cash,Flexible Compensation For Advisory Services Services,Medium,100,Low,Neutral,Medium Literacy - Low Income
3/1/2025 14:09,Kisii,41-60 Years,Employed (Full-Time),Salary/Wages,Prefer Not To Say,Yes,3,"Saving For Education, Investment Opportunities, Managing Debt","Limited Access To Financial Advisors, High Cost Of Advisory Services",Never,"Banks/Financial Institutions, Insurance Companies, Family/Friends/Informal Groups",Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips, Multilingual Support, Integration With My Existing Financial Accounts",Availability Of Expert Human Support If Needed,Somewhat Comfortable,"Accuracy Of Information, Data Privacy And Security",Debt Management,You Should Be Able To Suggest Real Time Job Opportunities Around Me,Medium,0,,Neutral,Medium Literacy - nan Income
2/25/2025 17:26,Nairobi,25-40 Years,Self-Employed,Business/Entrepreneurship,"20,000-50,000",No,4,Saving For Education,Limited Access To Financial Advisors,Rarely (Only When Needed),"Mobile Money Services (E.G., M-Pesa)",Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips, Integration With My Existing Financial Accounts",Accurate And Reliable Financial Advice,Somewhat Comfortable,Data Privacy And Security,I Would Love Links To Job Opportunities For Extra Cash,No,High,20,Low,Neutral,High Literacy - Low Income
2/26/2025 7:32,Nairobi,18-24 Years,Employed (Part-Time),Salary/Wages,"20,000-50,000",No,3,"Retirement Planning, Investment Opportunities, Managing Debt",Lack Of Financial Knowledge,Never,Family/Friends/Informal Groups,Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips, Multilingual Support, Integration With My Existing Financial Accounts",Accurate And Reliable Financial Advice,Somewhat Comfortable,"Accuracy Of Information, Ease Of Understanding Responses",Unknown,More Investment Plans,Medium,20,Low,Neutral,Medium Literacy - Low Income
2/27/2025 9:26,Kericho,18-24 Years,Employed (Part-Time),Salary/Wages,"20,000-50,000",Yes,2,Investment Opportunities,"Lack Of Financial Knowledge, Limited Access To Financial Advisors, High Cost Of Advisory Services",Rarely (Only When Needed),"Mobile Money Services (E.G., M-Pesa)",Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips",Easy-To-Use And Intuitive Interface,Very Comfortable,"Data Privacy And Security, Ease Of Understanding Responses",Testimonials,An Advisory Chatbot Would Come In Handy In Contemporary Finance,Low,20,Low,Neutral,Low Literacy - Low Income
2/27/2025 15:09,Nairobi,41-60 Years,Employed (Full-Time),Salary/Wages,"20,000-50,000",Yes,3,Investment Opportunities,Limited Financial Sources,Frequently (Weekly Or Monthly),Banks/Financial Institutions,Yes,Budgeting And Expense Tracking,"Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface, Availability Of Expert Human Support If Needed",Very Comfortable,Data Privacy And Security,Nine,"A Crucial Feature For The Adoption Of The Financial Advisory Chatbot Would Be Its Seamless Ability To Escalate Complex Questions Or Sensitive Topics To A Qualified Human Advisor.  Users Need Assurance That They Can Easily Connect With A Financial Expert When Faced With Intricate Financial Decisions Or When The Chatbot Cannot Provide Adequate Information.  This Feature Ensures That Users Feel Supported And Valued, Fostering Trust And Confidence In The Chatbot'S Assistance While Allowing Them To Access Personalized Advice When Necessary. Without This Option, Users May Hesitate To Fully Engage With The Chatbot, Fearing Potential Information Gaps Or Inadequate Responses For Significant Financial Matters.",Medium,20,Low,Neutral,Medium Literacy - Low Income
3/1/2025 9:14,Nairobi,25-40 Years,Employed (Full-Time),Salary/Wages,"Less Than 20,000",No,3,Investment Opportunities,"Lack Of Financial Knowledge, Lack Of Trust In Financial Advisors",Rarely (Only When Needed),Family/Friends/Informal Groups,Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips","Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface",Somewhat Comfortable,Data Privacy And Security,Data Protection Policy,Unknown,Medium,20,Low,Neutral,Medium Literacy - Low Income
2/26/2025 12:03,Eldoret,25-40 Years,Employed (Part-Time),Business/Entrepreneurship,"Less Than 20,000",Yes,4,"Retirement Planning, Investment Opportunities",Limited Access To Financial Advisors,Rarely (Only When Needed),Family/Friends/Informal Groups,Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips","Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice",Very Comfortable,Accuracy Of Information,On Saving And How To Get Capital For Business,"This Is A Great Survey, I'M Optimistic It Will Be Helpful In Developing On The Development Of The Financial Advice Bot",High,20,Low,Neutral,High Literacy - Low Income
2/28/2025 15:10,Nandi,25-40 Years,Employed (Full-Time),Salary/Wages,"20,000-50,000",No,3,"Saving For Education, Retirement Planning, Investment Opportunities",Limited Financial Sources,Rarely (Only When Needed),Banks/Financial Institutions,Yes,"Personalized Investment Advice, Real-Time Financial Tips, Integration With My Existing Financial Accounts","Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface",Very Comfortable,"Accuracy Of Information, Data Privacy And Security",Debt Management,Good Luck.,Medium,20,Low,Neutral,Medium Literacy - Low Income
2/27/2025 21:44,Narok,25-40 Years,Employed (Full-Time),Salary/Wages,"20,000-50,000",Yes,3,Investment Opportunities,"Limited Access To Financial Advisors, Lack Of Trust In Financial Advisors",Rarely (Only When Needed),Unknown,Yes,"Budgeting And Expense Tracking, Multilingual Support","Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface, Availability Of Expert Human Support If Needed",Very Comfortable,"Data Privacy And Security, Trust In Automated Financial Advice",Livestock Farming Business,None,Medium,20,Low,Neutral,Medium Literacy - Low Income
